year,date,julian_day,min_temp_2m,max_temp_2m,avg_temp_2m,precip_mm,cum_precip_mm,cum_precip_dry_mm,cum_precip_wet_mm,shelter_status,spring_graze,fall_graze,water_add_event,water_add_precip_tot_mm,soil_vwc_measured,notes,cum_precip_over_years_ambient,cum_precip_over_years_dry,cum_precip_over_years_wet,cum_julian_day
2018,1/1/2018,1,-13.015,-0.5552,-9.3899,0,0,0,0,0,0,0,0,0,0,,0,0,0,1
2018,1/2/2018,2,-10.741,5.6318,-2.7657,0,0,0,0,0,0,0,0,0,0,,0,0,0,2
2018,1/3/2018,3,-3.3509,8.9112,2.5669,0,0,0,0,0,0,0,0,0,0,,0,0,0,3
2018,1/4/2018,4,-1.3071,9.3654,2.8719,0,0,0,0,0,0,0,0,0,0,,0,0,0,4
2018,1/5/2018,5,-0.893,15.141,6.9161,0,0,0,0,0,0,0,0,0,0,,0,0,0,5
2018,1/6/2018,6,1.5575,14.12,6.8334,0,0,0,0,0,0,0,0,0,0,,0,0,0,6
2018,1/7/2018,7,-1.6679,9.9303,4.1616,0,0,0,0,0,0,0,0,0,0,,0,0,0,7
2018,1/8/2018,8,-2.5727,15.998,6.5606,0,0,0,0,0,0,0,0,0,0,,0,0,0,8
2018,1/9/2018,9,5.9721,18.273,12.2888,0,0,0,0,0,0,0,0,0,0,,0,0,0,9
2018,1/10/2018,10,-5.4615,12.384,6.9913,0,0,0,0,0,0,0,0,0,0,,0,0,0,10
2018,1/11/2018,11,-7.7216,4.9553,-0.7597,0,0,0,0,0,0,0,0,0,0,,0,0,0,11
2018,1/12/2018,12,-3.0118,7.1292,3.0818,0,0,0,0,0,0,0,0,0,0,,0,0,0,12
2018,1/13/2018,13,-5.548,7.6039,3.2809,0,0,0,0,0,0,0,0,0,0,,0,0,0,13
2018,1/14/2018,14,-4.7224,11.643,2.8095,0,0,0,0,0,0,0,0,0,0,,0,0,0,14
2018,1/15/2018,15,-18.041,-1.5276,-8.8382,0,0,0,0,0,0,0,0,0,0,,0,0,0,15
2018,1/16/2018,16,-18.359,0.221,-7.8638,0,0,0,0,0,0,0,0,0,0,,0,0,0,16
2018,1/17/2018,17,-6.0064,9.4013,2.1711,2.032,2.032,2.032,2.032,0,0,0,0,0,0,,2.032,2.032,2.032,17
2018,1/18/2018,18,1.1087,17.526,9.8092,0,2.032,2.032,2.032,0,0,0,0,0,0,,2.032,2.032,2.032,18
2018,1/19/2018,19,5.3844,18.359,12.4414,0,2.032,2.032,2.032,0,0,0,0,0,0,,2.032,2.032,2.032,19
2018,1/20/2018,20,-2.9483,11.47,3.7007,0,2.032,2.032,2.032,0,0,0,0,0,0,,2.032,2.032,2.032,20
2018,1/21/2018,21,-7.0716,-2.9106,-5.3015,0,2.032,2.032,2.032,0,0,0,0,0,0,,2.032,2.032,2.032,21
2018,1/22/2018,22,-5.0778,3.1113,-0.8477,0.508,2.54,2.54,2.54,0,0,0,0,0,0,,2.54,2.54,2.54,22
2018,1/23/2018,23,-7.11,2.598,-0.6337,11.684,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,23
2018,1/24/2018,24,-7.5864,11.086,5.0763,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,24
2018,1/25/2018,25,0.9464,11.198,6.6859,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,25
2018,1/26/2018,26,-6.4218,5.9254,0.2467,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,26
2018,1/27/2018,27,-3.6432,4.9281,1.2553,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,27
2018,1/28/2018,28,-4.1301,7.1353,2.6636,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,28
2018,1/29/2018,29,-4.5917,13.237,6.2415,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,29
2018,1/30/2018,30,5.3094,16.553,12.2763,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,30
2018,1/31/2018,31,-5.2219,11.936,0.5602,0,14.224,14.224,14.224,0,0,0,0,0,0,,14.224,14.224,14.224,31
2018,2/1/2018,32,-6.205,-3.0387,-4.9046,0.254,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,32
2018,2/2/2018,33,-5.9919,13.141,3.0261,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,33
2018,2/3/2018,34,5.7612,11.684,8.4058,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,34
2018,2/4/2018,35,-10.945,10.129,-2.6409,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,35
2018,2/5/2018,36,-6.4825,9.8968,3.592,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,36
2018,2/6/2018,37,-7.7151,8.3918,-0.5042,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,37
2018,2/7/2018,38,-5.9148,9.2411,3.9461,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,38
2018,2/8/2018,39,5.6656,13.394,9.6322,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,39
2018,2/9/2018,40,-11.69,10.643,-2.6787,0,14.478,14.478,14.478,0,0,0,0,0,0,,14.478,14.478,14.478,40
2018,2/10/2018,41,-13.441,-8.9769,-11.6424,1.778,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,41
2018,2/11/2018,42,-12.653,4.3628,-3.727,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,42
2018,2/12/2018,43,-11.07,-4.8531,-9.642,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,43
2018,2/13/2018,44,-11.108,13.591,3.5793,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,44
2018,2/14/2018,45,2.1345,15.381,8.8954,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,45
2018,2/15/2018,46,-8.2323,6.6481,1.8058,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,46
2018,2/16/2018,47,-10.461,6.1287,-2.3403,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,47
2018,2/17/2018,48,1.0257,12.3,5.2028,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,48
2018,2/18/2018,49,-6.3655,16.812,8.6659,0,16.256,16.256,16.256,0,0,0,0,0,0,,16.256,16.256,16.256,49
2018,2/19/2018,50,-18.318,-6.3997,-12.7209,8.382,24.638,24.638,24.638,0,0,0,0,0,0,,24.638,24.638,24.638,50
2018,2/20/2018,51,-22.179,-12.624,-16.706,1.778,26.416,26.416,26.416,0,0,0,0,0,0,,26.416,26.416,26.416,51
2018,2/21/2018,52,-18.348,-8.3128,-12.2176,0,26.416,26.416,26.416,0,0,0,0,0,0,,26.416,26.416,26.416,52
2018,2/22/2018,53,-12.983,-5.6156,-8.8642,0.508,26.924,26.924,26.924,0,0,0,0,0,0,,26.924,26.924,26.924,53
2018,2/23/2018,54,-11.007,-3.9379,-7.0364,1.016,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,54
2018,2/24/2018,55,-8.8246,-1.6652,-4.9931,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,55
2018,2/25/2018,56,-7.353,1.1237,-2.2527,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,56
2018,2/26/2018,57,-5.2815,8.5916,1.2914,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,57
2018,2/27/2018,58,-2.6934,10.223,2.6914,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,58
2018,2/28/2018,59,-2.5257,7.5057,1.756,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,59
2018,3/1/2018,60,-6.5628,10.072,2.2145,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,60
2018,3/2/2018,61,0.3877,18.424,9.1181,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,61
2018,3/3/2018,62,2.9163,16.646,9.8939,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,62
2018,3/4/2018,63,-3.1139,16.43,7.1033,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,63
2018,3/5/2018,64,-4.5278,1.143,-2.1644,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,64
2018,3/6/2018,65,-4.6014,7.591,-0.1541,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,65
2018,3/7/2018,66,-8.6884,9.0302,0.348,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,66
2018,3/8/2018,67,-1.7447,14.57,7.6448,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,67
2018,3/9/2018,68,5.0515,14.9,9.7304,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,68
2018,3/10/2018,69,-3.6001,9.4428,4.6553,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,69
2018,3/11/2018,70,-6.7306,8.0656,0.7451,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,70
2018,3/12/2018,71,-4.41,10.639,3.7432,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,71
2018,3/13/2018,72,-4.2713,11.89,4.0062,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,72
2018,3/14/2018,73,-0.18,17.66,9.2297,0,27.94,27.94,27.94,0,0,0,0,0,0,,27.94,27.94,27.94,73
2018,3/15/2018,74,0.6681,16.357,7.9298,1.27,29.21,29.21,29.21,0,0,0,0,0,0,,29.21,29.21,29.21,74
2018,3/16/2018,75,0.3652,8.7343,5.033,0,29.21,29.21,29.21,0,0,0,0,0,0,,29.21,29.21,29.21,75
2018,3/17/2018,76,-2.0225,13.65,6.4439,0,29.21,29.21,29.21,0,0,0,0,0,0,,29.21,29.21,29.21,76
2018,3/18/2018,77,-1.5145,9.5177,2.9699,3.556,32.766,32.766,32.766,0,0,0,0,0,0,,32.766,32.766,32.766,77
2018,3/19/2018,78,-4.2985,5.5316,-0.2321,12.954,45.72,45.72,45.72,0,0,0,0,0,0,,45.72,45.72,45.72,78
2018,3/20/2018,79,-3.168,5.6445,2.4535,2.794,48.514,48.514,48.514,0,0,0,0,0,0,,48.514,48.514,48.514,79
2018,3/21/2018,80,-1.5969,12.636,6.8706,0,48.514,48.514,48.514,0,0,0,0,0,0,,48.514,48.514,48.514,80
2018,3/22/2018,81,5.9192,18.992,13.1299,0,48.514,48.514,48.514,0,0,0,0,0,0,,48.514,48.514,48.514,81
2018,3/23/2018,82,4.3719,18.678,11.7919,0,48.514,48.514,48.514,0,0,0,0,0,0,,48.514,48.514,48.514,82
2018,3/24/2018,83,0.0386,15.701,8.6237,0,48.514,48.514,48.514,0,0,0,0,0,0,,48.514,48.514,48.514,83
2018,3/25/2018,84,-0.94,14.114,7.2451,1.778,50.292,50.292,50.292,0,0,0,0,0,0,,50.292,50.292,50.292,84
2018,3/26/2018,85,-1.7379,6.6226,1.8334,4.064,54.356,54.356,54.356,0,0,0,0,0,0,,54.356,54.356,54.356,85
2018,3/27/2018,86,-5.7779,5.2475,1.0875,18.288,72.644,72.644,72.644,0,0,0,0,0,0,,72.644,72.644,72.644,86
2018,3/28/2018,87,-5.0519,6.0674,1.4821,0.762,73.406,73.406,73.406,0,0,0,0,0,0,,73.406,73.406,73.406,87
2018,3/29/2018,88,-4.9607,5.9537,-0.1852,9.652,83.058,83.058,83.058,0,0,0,0,0,0,,83.058,83.058,83.058,88
2018,3/30/2018,89,-3.0604,15.444,6.6453,1.016,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,89
2018,3/31/2018,90,-5.149,11.492,3.9855,0,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,90
2018,4/1/2018,91,-5.7076,8.8936,0.6146,0,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,91
2018,4/2/2018,92,0.5331,20.762,12.1243,0,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,92
2018,4/3/2018,93,-2.9493,9.028,2.2219,0,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,93
2018,4/4/2018,94,-4.6624,14.928,8.176,0,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,94
2018,4/5/2018,95,5.9889,16.314,11.3396,0,84.074,84.074,84.074,0,0,0,0,0,0,,84.074,84.074,84.074,95
2018,4/6/2018,96,-7.1071,6.0878,-2.7037,5.588,89.662,89.662,89.662,0,0,0,0,0,0,,89.662,89.662,89.662,96
2018,4/7/2018,97,-7.1963,15.054,2.5842,0,89.662,89.662,89.662,0,0,0,0,0,0,,89.662,89.662,89.662,97
2018,4/8/2018,98,3.7581,13.413,9.3894,0,89.662,89.662,89.662,0,0,0,0,0,0,,89.662,89.662,89.662,98
2018,4/9/2018,99,-0.5693,11.845,5.3002,1.524,91.186,91.186,91.186,0,0,0,0,0,0,,91.186,91.186,91.186,99
2018,4/10/2018,100,4.0316,18.765,13.0501,0,91.186,91.186,91.186,0,0,0,0,0,0,,91.186,91.186,91.186,100
2018,4/11/2018,101,10.367,23.056,16.5266,0,91.186,91.186,91.186,0,0,0,0,0,0,,91.186,91.186,91.186,101
