block,plot,year,max_gi_doy,gs_length
1,1,2020,175.9673768,157.3936367
1,2,2020,177.3383173,187.545402
1,3,2020,163.6044923,74.38361742
1,4,2020,165.887696,99.81545219
1,5,2020,175.0958965,170.8531293
1,6,2020,166.8118908,89.59209388
1,7,2020,171.910903,91.06372889
1,8,2020,166.5046668,114.5622157
1,9,2020,178.574862,157.6258489
1,10,2020,175.2664444,130.1642445
1,11,2020,147.9421292,65.71645154
1,12,2020,167.7055094,97.58644442
2,1,2020,169.2883318,60.12226481
2,2,2020,175.3767246,144.5074522
2,3,2020,175.1606956,169.6506006
2,4,2020,199.5971987,117.0539314
2,5,2020,176.2443578,171.2738392
2,6,2020,175.774031,178.8453779
2,7,2020,172.2415918,49.87398011
2,8,2020,175.2492317,95.1713873
2,9,2020,182.6266891,149.3388062
2,10,2020,195.0624619,NA
2,11,2020,167.5793594,115.8680939
2,12,2020,175.8504049,157.8420938
3,1,2020,162.3872729,168.3294116
3,2,2020,163.9594986,77.32770272
3,3,2020,163.3734951,157.2731751
3,4,2020,219.893048,NA
3,5,2020,163.3977905,142.6029899
3,6,2020,219.9255419,43.03787584
3,7,2020,162.3322141,75.67820843
3,8,2020,164.8201688,122.721697
3,9,2020,164.9749907,156.7252529
3,10,2020,165.1797678,108.2139437
3,11,2020,166.7734541,102.4051531
3,12,2020,175.4757168,50.05310584
4,1,2020,172.6442198,102.1560189
4,2,2020,176.6699364,165.2779293
4,3,2020,173.8001538,132.3649618
4,4,2020,176.0293338,95.57157715
4,5,2020,175.9137236,113.9127427
4,6,2020,175.6824173,176.347856
4,7,2020,175.4446532,79.16888141
4,8,2020,175.8067864,161.2508675
4,9,2020,184.1004573,182.7259104
4,10,2020,176.568122,164.3078605
4,11,2020,213.7670563,129.0464402
4,12,2020,178.0881141,153.474737
5,1,2020,160.3069548,169.9022449
5,2,2020,163.6571246,162.071837
5,3,2020,163.0564705,85.63071356
5,4,2020,163.0527632,168.6083652
5,5,2020,162.919063,182.9443606
5,6,2020,164.4359261,169.6451175
5,7,2020,162.7973194,155.2815295
5,8,2020,168.5550849,154.4502467
5,9,2020,161.5877648,61.43193129
5,10,2020,166.810183,142.4735591
5,11,2020,163.8254503,142.5325609
5,12,2020,166.4081982,105.1693287
6,1,2020,184.492674,101.5368033
6,2,2020,183.8672633,181.8935442
6,3,2020,199.5761309,171.9153194
6,4,2020,170.7417276,197.6356402
6,5,2020,175.7125806,180.4275034
6,6,2020,168.5396156,189.5482591
6,7,2020,164.9110659,158.5129467
6,8,2020,164.8947455,184.4825628
6,9,2020,175.6168972,161.850155
6,10,2020,185.4648036,141.0532878
6,11,2020,167.5199053,204.1873908
6,12,2020,175.9799539,169.9368262
